courseCode,Professors
CSE 101,Kris D. Schindler,Jennifer Winikus
CSE 111,Kris D. Schindler,Jennifer Winikus 
CSE 113,Jennifer Winikus
CSE 114,Barbara Ann Sherman
CSE 115,Carl Alphonce, Matthew Hertz,Paul Dickson 
CSE 116,Jesse Lee Hartloff,Paul Dickson
CSE 191,Nasrin Akhter
CSE 199,Kenneth Andrew,Joseph,Marina Blanton,Ifeoma O Nwogu,Kenneth W Regan, David Doermann,Nasrin Akhter
CSE 220,Marina Blanton,Carl Alphonce
CSE 241,Jennifer Winikus
CSE 250,Eric Mikida,Oliver Kennedy
CSE 305,Stuart C. Shapiro
CSE 306,Carl Alphonce
CSE 312,Jesse Lee Hartloff
CSE 321,Jennifer Winikus
CSE 331,Atri Rudra
CSE 341,Farshad Ghanei,Kris D. Schindler
CSE 365,Alan M Hongxin Hunt
CSE 368,Alina Vereshchaka
CSE 370,Alan M Hongxin Hunt
CSE 379,Kris D. Schindler
CSE 396,Kenneth W. Regan
CSE 404,Matthew Hertz
CSE 410,Paul Dickson,Wenyao Xu,Jennifer Winikus,Ziming Zhao
CSE 411,Kenneth N Smith	
CSE 421,Farshad Ghanei
CSE 426,Bina Ramamurthy
CSE 427,David J. Murray
CSE 429,Russ Miller
CSE 431,Xin He, Shi Li
CSE 435,Sougata Saha
CSE 439,Matthew Knepley	
CSE 442,Weihang Wang,Matthew Hertz
CSE 446,Alina Vereshchaka
CSE 450,Kris D. Schindler
CSE 455,Sreyasee Das Bhattacharjee
CSE 460,Sreyasee Das Bhattacharjee
CSE 468,Karthik Dantu
CSE 469,Ahmet Erdem Sariyuce
CSE 473,Junsong Yuan	
CSE 474,Mingchen Gao
CSE 487,Eric Mikida
CSE 489,Hongxin Hu	
CSE 491,Kenneth W Regan
CSE 492,Alan M Hongxin Hunt
CSE 493,Ramalingam Sridhar
CSE 495,Nasrin Akhter,Carl Alphonce,Sreyasee Das Bhattacharjee,Farshad Ghanei,Jesse Lee Hartloff,Matthew Hertz,Alan M Hongxin Hunt,Zhanpeng Jin,Oliver Kennedy,Liu,Bina Ramamurthy,Atri Rudra,Kris D. Schindler,Jennifer Winikus,Wenyao Xu,Zola
CSE 496,Oliver Kennedy
CSE 497,Wenyao Xu
CSE 498,Carl Alphonce,Bina Ramamurthy,Balton,Karthik Dantu,Jesse Lee Hartloff,Kenneth Andrew Joseph,Meng,Qiao,Kris D. Schindler,Sreyasee Das Bhattacharjee,Upadhyaya,Wenyao Xu,Jennifer Winikus,Junsong Yuan,Ziming Zhao
CSE 499,Zola,Carl Alphonce,Marina Blanton,Buckley,Chandola,Karthik Dantu,Demirbas,Dong,Govindaraju,Jesse Lee Hartloff,He,Matthew Hertz,Hongxin Hughes,Alan M Hongxin Hunt,Jayaraman,Zhanpeng Jin, Oliver Kennedy,Matthew Knepley,Mingchen Gao,Russ Miller,Chongxin Hunming Qiao,Bina Ramamurthy,Kenneth W Regan,Rohini K Srihari,Atri Rudra,Kris D. Schindler,Ramalingam Sridhar,Rohini K Srihari,ShambHongxin Hu J Upadhyaya,Wenyao Xu,Zhanpeng Jin Hongxin Hui,Lukasz Ziarek,Jaroslaw Zola